ご指定いただいた通り、フィラーのみを除去し、言い直しや途中で変えた言葉も含めて一字一句漏らさず書き起こしました。

---
### 部分的な選択とクオリファイアの活用

[講師] ほんで、まあそのHDRでした後にSDRにどうやって変換するとよりナチュラルになるかっていうので、やっぱ困るのはこの、ね、あの標準化されたACESの変換であるから、まあこれ、この変換だけでいいじゃないかって思ったりするんですけど、やっぱ良くなくって、これが。この変換が。で、えーっと、今だとね、HLGで作業して、で、これをSDRに変えるだけでいいじゃないかと、一括の状況の時も思ってたんですけど、まあ違くて。こっちのほうが全然、あの、ふわっとガンマもふわっとするし、色も、これ、そうですね、まあどっち、まあいいか。顔色も結構薄くなるし、みたいな感じになって。けど一番強い赤いところ、赤いところはバキッと出るし、みたいな。そういう変化になるので、そこは、あの、ちょっとまあ研究して、変換のLUTとかをダウンロードしたりとかして、なんとかやりましたね。結構近くなりました。

[講師] あと、2020でやるかどうかっていうのが結構決まってるかな。

[質問者] ああ、色域に。

[講師] 色域が広すぎて、SDRだと、巨大な2020として作った時は、全然表現できないので。やっぱP3、P3でHDRでグレーディングしたとしても、例えばP3D65とかで。ああ、なんか自分がコントロールしやすい範囲の条件でやるっていうのは結構大事かもなと思いましたね。2020の、色まで絶対使うんだって作品だったら絶対2020でやりますけど。火星の王は不安もあったのでP3でグレーディングしたり。2020まで、まあほとんど原色に近いような色を、その作品で出したいかどうかかな。まあ、本当、スマホで、パッと決めれるんであれば、色域限定して。実際火星の王、P3で。内部的にはP3。ターゲットは2020で。うん。まあそういう作品だから使わんだろうなとは思ってたんですけど。

---
### 講義の締め括りと今後の活動

[講師] 岡野さんが来たな。ちょうど6時だ。ちょうど6時ですね。はい。じゃあ、以上のような感じになりますね。なんか、大丈夫ですか？

[質問者] 大丈夫です。

[講師] また、いいところに。あ、やめた後。まだ決まってないですね。わからないんですよ。面接を4月2日に受けます。めっちゃプライベート。なんで、次ありましたら、私の個人のほうに。岡野さんのほうは私のほうが個人的に連絡するかもしれない。まあそうですね。個人マネジメントしたいですよ、軽く言うかもしれない。私は来週ぐらいから大阪行って。ちょっと。

[質問者] あ、そうなんですね。

[講師] ええ、そうなんです。火星の王をやってたおじさんが急に芸人になったみたいな話。

[質問者] あはは。

[講師] まあ、東京、東京ベースです。私も東京にはいますんで。ぜひぜひ。またその時にはまたAIの話ばっかするな、こいつ、っていう感じになってるかもしれない。

[質問者] あとは、モーション、モーショングラフィックスとか作るのめちゃくちゃ上手い。

[講師] 本当はそうなんです。CGとかやってたんで。CGとかやって、まあ、After Effectsとかも使いこなせます。使いこなせます。

[質問者] ちなみにFlameは？

[講師] Flameは使えないんですよね。あそこはFusionですかね。Fusionですね。逆に私がFlameエディターの、ちょっとよくわからない。

[質問者] かっこいいですけど。

[講師] 少し前、えーっと、Fusionの勉強会なんですけど、Flameに置き換えると、Flameでこういうことが、Fusionではどうやってやるのかな、僕らFlame使いの人が多いから、Fusion使いの人、FlameでやれることをFusionで、あの、再現してみようみたいな勉強会もちょっと外部でやってて。

[質問者] へえー。

[講師] なるほど。意外と両方使いっていう方は少ない。そうですね。まあ、塚本。あ、そうですね。あの、ブラックマジックでもたまに講師してます。橋本さん。FlameエディターでFusionでもやってる。でも、あの人頭おかしいんですけど、家にもFlameあるから。

[質問者] ええー！

[講師] 家に、家にマスターモニターとFlame持ってる。パネルも持ってる。そうなんです。いやけど、そうなんです。なかなか特殊な。まあCGディレクター。そうですね。まあFlameのほうが便利だなって思うことは多々ありますけどね。はい。Fusionと比べるとそうかもしれない。

[質問者] 岡野さん、お疲れ様です。そこにいますね。Flameでグレーディングしようとは思わない。そうですね。はい。

[講師] じゃあ、以上で。ありがとうございました。

[質問者] ありがとうございました。よろしくお願いします。
